PrimaryKey,DBKey,EcologicalSiteId,Latitude_NAD83,Longitude_NAD83,
15052012001494532020-03-31,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-04-28,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-05-26,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-06-23,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-07-21,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-08-18,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-09-15,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-10-13,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-11-10,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-12-08,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-01-05,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-02-02,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-03-02,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-03-31,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-04-30,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-05-25,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-06-22,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532019-12-12,REPORT12Dec19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-06-16,REPORT16Jun21HAFBDIMA5.4asof2019-04-19, UNKNOWN,32.9422,-106.107,
15052012001494532020-06-17,REPORT17Jun20HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-09-17,REPORT17Sept20HAFBDIMA5.4asof2019-04-19, UNKNOWN,32.9422,-106.107,
15052012001494532021-03-18,REPORT18Mar21HAFBDIMA5.4asof2019-04-19, UNKNOWN,32.9422,-106.107,
15052012001494532015-05-18,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532015-10-08,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532016-03-31,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532016-07-22,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532016-10-21,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532017-11-15,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532018-03-12,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532018-06-14,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532018-10-05,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532019-03-01,REPORT18May15-1Mar19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532019-09-19,REPORT19Sept19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532021-09-23,REPORT23Sept21HAFBDIMA5.4asof2019-04-19, UNKNOWN,32.9422,-106.107,
15052012001494532019-06-05,REPORT5Jun19HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-04-07,REPORT7Apr20HAFBDIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532020-12-09,REPORT9Dec20HAFBDIMA5.4asof2019-04-19, UNKNOWN,32.9422,-106.107,
15050113465465692016-03-21,JERDDTDIMA5.5aasof2020-06-26, UNKNOWN,32.6271,-106.739,
