"","PrimaryKey","indicator","nwern_percent","percent","line_length","interval","n_lines","pin_n","difference","group"
"61","15050113465465692015-09-24","PC",26.3912310286678,24.3333333333333,25,25,3,300,2.05789769533446,"I_25_L_25_N_3"
"62","15050113465465692015-09-24","PC",26.3912310286678,23.9864864864865,50,25,3,600,2.4047445421813,"I_25_L_50_N_3"
"63","15050113465465692015-09-24","PC",26.3912310286678,26.3912310286678,100,25,3,1200,0,"NWERN Base"
"64","15050113465465692015-09-24","PC",26.3912310286678,28,25,50,3,150,-1.60876897133221,"I_50_L_25_N_3"
"65","15050113465465692015-09-24","PC",26.3912310286678,24.5791245791246,50,50,3,300,1.81210644954321,"I_50_L_50_N_3"
"66","15050113465465692015-09-24","PC",26.3912310286678,27.4410774410774,100,50,3,600,-1.04984641240965,"I_50_L_100_N_3"
"67","15050113465465692015-09-24","PC",26.3912310286678,25.3333333333333,25,100,3,75,1.05789769533446,"I_100_L_25_N_3"
"68","15050113465465692015-09-24","PC",26.3912310286678,26,50,100,3,150,0.391231028667789,"I_100_L_50_N_3"
"69","15050113465465692015-09-24","PC",26.3912310286678,29.6296296296296,100,100,3,300,-3.23839860096184,"I_100_L_100_N_3"
"70","15050113465465692015-09-24","PC",26.3912310286678,33.3333333333333,25,200,3,39,-6.94210230466555,"I_200_L_25_N_3"
"71","15050113465465692015-09-24","PC",26.3912310286678,33.3333333333333,50,200,3,75,-6.94210230466555,"I_200_L_50_N_3"
"72","15050113465465692015-09-24","PC",26.3912310286678,31.9727891156463,100,200,3,150,-5.58155808697847,"I_200_L_100_N_3"
"73","15050113465465692016-03-28","PC",29.6795952782462,20,25,25,1,100,9.67959527824621,"I_25_L_25_N_1"
"74","15050113465465692016-03-28","PC",29.6795952782462,34.5177664974619,50,25,1,200,-4.83817121921572,"I_25_L_50_N_1"
"75","15050113465465692016-03-28","PC",29.6795952782462,33.4177215189873,100,25,1,400,-3.73812624074113,"I_25_L_100_N_1"
"76","15050113465465692016-03-28","PC",29.6795952782462,40,25,50,1,50,-10.3204047217538,"I_50_L_25_N_1"
"77","15050113465465692016-03-28","PC",29.6795952782462,33.3333333333333,50,50,1,100,-3.65373805508713,"I_50_L_50_N_1"
"78","15050113465465692016-03-28","PC",29.6795952782462,26.2626262626263,100,50,1,200,3.41696901561994,"I_50_L_100_N_1"
"79","15050113465465692016-03-28","PC",29.6795952782462,24,25,100,1,25,5.67959527824621,"I_100_L_25_N_1"
"80","15050113465465692016-03-28","PC",29.6795952782462,22,50,100,1,50,7.67959527824621,"I_100_L_50_N_1"
"81","15050113465465692016-03-28","PC",29.6795952782462,24.2424242424242,100,100,1,100,5.43717103582197,"I_100_L_100_N_1"
"82","15050113465465692016-03-28","PC",29.6795952782462,30.7692307692308,25,200,1,13,-1.08963549098456,"I_200_L_25_N_1"
"83","15050113465465692016-03-28","PC",29.6795952782462,24,50,200,1,25,5.67959527824621,"I_200_L_50_N_1"
