"","PrimaryKey","gap_class","nwern_percent","nwern_n","nwern_length","total_line_length","length","n","percent","group","n_lines","line_length","percent_difference"
"129","15050113465465692016-03-28","201-Inf",32.4,26,9720,7500,2533,6,33.7733333333333,"L_25_N_3",3,25,-1.37333333333333
"130","15050113465465692016-03-28","201-Inf",32.4,26,9720,5000,899,3,17.98,"L_50_N_1",1,50,14.42
"131","15050113465465692016-03-28","201-Inf",32.4,26,9720,10000,3446,9,34.46,"L_50_N_2",2,50,-2.06
"132","15050113465465692016-03-28","201-Inf",32.4,26,9720,15000,5334,15,35.56,"L_50_N_3",3,50,-3.16
"133","15050113465465692016-03-28","201-Inf",32.4,26,9720,10000,2735,7,27.35,"L_100_N_1",1,100,5.05
"134","15050113465465692016-03-28","201-Inf",32.4,26,9720,20000,5996,16,29.98,"L_100_N_2",2,100,2.42
"135","15050113465465692016-03-28","201-Inf",32.4,26,9720,30000,9720,26,32.4,"NWERN Base",3,100,0
"136","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,2500,393,10,15.72,"L_25_N_1",1,25,-6.91666666666667
"137","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,5000,183,5,3.66,"L_25_N_2",2,25,5.14333333333333
"138","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,7500,576,15,7.68,"L_25_N_3",3,25,1.12333333333333
"139","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,5000,608,16,12.16,"L_50_N_1",1,50,-3.35666666666667
"140","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,10000,580,15,5.8,"L_50_N_2",2,50,3.00333333333333
"141","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,15000,1448,37,9.65333333333333,"L_50_N_3",3,50,-0.849999999999998
"142","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,10000,794,22,7.94,"L_100_N_1",1,100,0.863333333333335
"143","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,20000,1587,42,7.935,"L_100_N_2",2,100,0.868333333333334
"144","15050113465465692016-03-28","25-51",8.80333333333333,70,2641,30000,2641,70,8.80333333333333,"NWERN Base",3,100,0
"145","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,2500,506,7,20.24,"L_25_N_1",1,25,-3.95666666666667
"146","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,5000,836,11,16.72,"L_25_N_2",2,25,-0.436666666666667
"147","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,7500,1342,18,17.8933333333333,"L_25_N_3",3,25,-1.61
"148","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,5000,713,10,14.26,"L_50_N_1",1,50,2.02333333333333
"149","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,10000,1315,18,13.15,"L_50_N_2",2,50,3.13333333333333
"150","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,15000,2261,31,15.0733333333333,"L_50_N_3",3,50,1.21
"151","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,10000,1548,21,15.48,"L_100_N_1",1,100,0.803333333333333
"152","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,20000,3104,42,15.52,"L_100_N_2",2,100,0.763333333333332
"153","15050113465465692016-03-28","51-101",16.2833333333333,66,4885,30000,4885,66,16.2833333333333,"NWERN Base",3,100,0
"154","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,2500,64,5,2.56,"L_25_N_1",1,25,0.196666666666667
"155","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,5000,180,14,3.6,"L_25_N_2",2,25,-0.843333333333333
"156","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,7500,244,19,3.25333333333333,"L_25_N_3",3,25,-0.496666666666666
"157","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,5000,170,14,3.4,"L_50_N_1",1,50,-0.643333333333334
"158","15050113465465692016-03-28","NoGap",2.75666666666667,68,827,10000,192,14,1.92,"L_50_N_2",2,50,0.836666666666667
