"","PrimaryKey","indicator","nwern_height","nwern_pin_n","mean_height","line_length","interval","n_lines","pin_n","difference","group"
"81","15050113465465692015-09-24","mean_height",30.6187050359712,150,30.8823529411765,100,16,3,75,-0.263647905205247,"I_16_L_100_N_3"
"82","15050113465465692015-09-24","mean_height",30.6187050359712,150,37.6,100,24,1,17,-6.98129496402878,"I_24_L_100_N_1"
"83","15050113465465692015-09-24","mean_height",30.6187050359712,150,34.0322580645161,100,24,2,34,-3.4135530285449,"I_24_L_100_N_2"
"84","15050113465465692015-09-24","mean_height",30.6187050359712,150,29.7234042553191,100,24,3,51,0.895300780652075,"I_24_L_100_N_3"
"85","15050113465465692015-09-24","mean_height",30.6187050359712,150,27.5,100,32,1,13,3.11870503597122,"I_32_L_100_N_1"
"86","15050113465465692015-09-24","mean_height",30.6187050359712,150,29.1739130434783,100,32,2,26,1.44479199249296,"I_32_L_100_N_2"
"87","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.6666666666667,100,32,3,39,1.95203836930456,"I_32_L_100_N_3"
"88","15050113465465692015-09-24","mean_height",30.6187050359712,150,30.1111111111111,100,40,1,10,0.507593924860114,"I_40_L_100_N_1"
"89","15050113465465692015-09-24","mean_height",30.6187050359712,150,29.5789473684211,100,40,2,20,1.03975766755017,"I_40_L_100_N_2"
"90","15050113465465692015-09-24","mean_height",30.6187050359712,150,32.7586206896552,100,40,3,30,-2.13991565368395,"I_40_L_100_N_3"
"91","15050113465465692016-03-28","mean_height",26.218045112782,150,37.9,25,8,1,12,-11.681954887218,"I_8_L_25_N_1"
"92","15050113465465692016-03-28","mean_height",26.218045112782,150,34.6363636363636,25,8,2,24,-8.41831852358168,"I_8_L_25_N_2"
"93","15050113465465692016-03-28","mean_height",26.218045112782,150,24.3548387096774,25,8,3,36,1.86320640310453,"I_8_L_25_N_3"
"94","15050113465465692016-03-28","mean_height",26.218045112782,150,33.3333333333333,25,16,1,6,-7.11528822055138,"I_16_L_25_N_1"
"95","15050113465465692016-03-28","mean_height",26.218045112782,150,33.5,25,16,2,12,-7.28195488721805,"I_16_L_25_N_2"
"96","15050113465465692016-03-28","mean_height",26.218045112782,150,29.5555555555556,25,16,3,18,-3.3375104427736,"I_16_L_25_N_3"
"97","15050113465465692016-03-28","mean_height",26.218045112782,150,23,25,24,1,4,3.21804511278195,"I_24_L_25_N_1"
"98","15050113465465692016-03-28","mean_height",26.218045112782,150,19.875,25,24,2,8,6.34304511278195,"I_24_L_25_N_2"
"99","15050113465465692016-03-28","mean_height",26.218045112782,150,23.9090909090909,25,24,3,12,2.30895420369104,"I_24_L_25_N_3"
"100","15050113465465692016-03-28","mean_height",26.218045112782,150,33,25,32,1,3,-6.78195488721805,"I_32_L_25_N_1"
"101","15050113465465692016-03-28","mean_height",26.218045112782,150,35.1666666666667,25,32,2,6,-8.94862155388471,"I_32_L_25_N_2"
"102","15050113465465692016-03-28","mean_height",26.218045112782,150,40.5555555555556,25,32,3,9,-14.3375104427736,"I_32_L_25_N_3"
